City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
medzilaborce,64,SK,1547192489,84,49.27,21.9,17.72,7.99
kabo,0,CF,1547192489,24,7.69,18.62,89.85,7.87
kodiak,90,US,1547192100,37,39.95,-94.76,37.04,9.17
oranjemund,36,ZA,1547192489,93,-28.55,16.43,63.71,5.41
nikolskoye,90,RU,1547190000,92,59.7,30.79,23.0,11.18
hluti,24,SZ,1547192490,72,-27.22,31.62,82.83,2.17
krasnoarmeysk,75,RU,1547190000,92,56.12,38.15,14.0,8.95
churapcha,44,RU,1547192491,50,62.0,132.43,-30.75,4.63
taksimo,64,RU,1547192491,84,56.36,114.84,-8.03,1.72
chepareria,0,KE,1547192491,35,1.32,35.2,76.08,2.28
sitka,80,US,1547192492,66,37.17,-99.65,40.31,9.44
byron bay,0,AU,1547190000,61,-28.65,153.62,86.0,13.87
qasigiannguit,0,GL,1547189400,52,68.82,-51.19,-7.61,3.36
lodja,68,CD,1547192493,81,-3.52,23.6,80.0,3.18
jiwani,24,PK,1547192493,54,25.05,61.74,80.9,8.1
samarai,0,PG,1547192493,100,-10.62,150.67,83.28,10.67
navalmoral de la mata,0,ES,1547192493,75,39.89,-5.54,22.58,2.95
nishihara,40,JP,1547190000,31,35.74,139.53,51.8,12.75
eureka,1,US,1547192100,100,40.8,-124.16,50.0,5.82
mahibadhoo,36,MV,1547192495,100,3.78,72.97,82.34,11.45
shillong,20,IN,1547190000,48,25.58,91.88,75.2,5.82
nago,0,IT,1547191200,73,45.88,10.89,26.6,6.93
requena,0,ES,1547190000,83,39.49,-1.1,32.0,6.93
pemberton,0,AU,1547192496,37,-34.44,116.03,75.9,9.1
buala,92,SB,1547192496,90,-8.15,159.59,82.79,4.07
fort-shevchenko,68,KZ,1547192496,100,44.51,50.26,34.19,10.0
skibbereen,75,IE,1547191800,100,51.55,-9.27,46.4,3.36
diamantino,36,BR,1547192497,96,-14.4,-56.44,70.01,2.62
semnan,0,IR,1547190000,56,35.58,53.39,41.0,2.24
seydi,0,NE,1547190000,34,13.34,7.75,64.4,4.7
seminole,40,US,1547190900,84,32.72,-102.64,49.28,10.29
vila franca do campo,75,PT,1547190000,87,37.72,-25.43,57.2,11.41
quimper,90,FR,1547190000,100,48.0,-4.1,46.4,2.24
atar,12,MR,1547192500,41,20.52,-13.05,46.65,2.95
talnakh,68,RU,1547192500,53,69.49,88.39,-31.74,3.96
paamiut,68,GL,1547192500,94,61.99,-49.67,29.73,8.21
fare,92,PF,1547192501,100,-16.7,-151.02,79.19,18.72
linqiong,0,CN,1547190000,37,30.42,103.46,53.6,4.47
zhigansk,56,RU,1547192501,39,66.77,123.37,-25.85,7.76
port hedland,36,AU,1547190000,63,-20.31,118.58,93.2,19.46
lunenburg,1,US,1547189760,64,42.59,-71.72,24.98,8.05
padang,20,ID,1547190000,79,-0.92,100.36,86.0,5.82
saint george,75,GR,1547189400,77,39.45,22.34,41.0,1.16
broome,0,GB,1547191200,93,52.47,1.45,44.6,5.82
pokhara,68,NP,1547192504,66,28.21,83.99,53.45,2.62
ledyard,20,US,1547189760,52,41.44,-72.02,30.02,18.34
mitsamiouli,88,KM,1547192504,90,-11.38,43.28,85.31,7.65
pacific grove,20,US,1547191200,92,36.62,-121.92,48.92,3.36
khvalynsk,88,RU,1547192505,89,52.5,48.11,6.15,5.75
vinh yen,75,VN,1547190000,93,21.31,105.6,66.2,3.36
sambava,32,MG,1547192505,100,-14.27,50.17,83.42,5.41
angoche,88,MZ,1547192506,100,-16.23,39.91,76.67,17.49
kargopol,92,RU,1547192506,88,61.51,38.95,17.0,22.86
sorland,75,NO,1547189400,69,67.67,12.69,39.2,28.86
north bend,1,US,1547189760,96,43.41,-124.22,48.02,4.7
boddam,40,GB,1547191200,70,57.47,-1.78,46.4,4.7
severo-kurilsk,0,RU,1547192507,100,50.68,156.12,13.26,9.66
roanoke rapids,1,US,1547191200,68,36.46,-77.65,26.6,6.31
san patricio,92,PY,1547192508,87,-26.98,-56.83,70.41,5.64
vao,92,EE,1547192508,96,59.1,26.19,34.19,14.25
la sarre,32,CA,1547192509,67,48.8,-79.2,-9.6,9.66
hanstholm,0,DK,1547192509,87,57.12,8.61,44.54,27.34
tateyama,40,JP,1547190000,48,36.66,137.31,44.6,5.82
wuwei,0,CN,1547192510,55,37.93,102.64,30.9,3.29
manadhoo,32,MV,1547192510,100,5.77,73.38,81.8,11.56
tevaitoa,92,PF,1547192393,100,-16.78,-151.5,79.19,18.72
mitu,0,IR,1547192510,56,36.2,46.09,37.43,1.16
liverpool,75,GB,1547191200,87,53.41,-2.98,44.6,8.05
fereydunshahr,0,IR,1547192511,40,32.94,50.12,42.06,1.61
cockburn town,64,TC,1547192448,100,21.46,-71.14,76.35,7.65
tigil,64,RU,1547192512,70,57.8,158.67,4.13,3.96
cabedelo,40,BR,1547190000,100,-6.97,-34.84,73.4,5.82
dubai,40,AE,1547190000,56,25.27,55.3,73.4,11.41
alice springs,48,AU,1547190000,12,-23.7,133.88,107.6,4.7
gat,88,SN,1547190000,72,14.69,-16.54,64.4,12.75
verkhoyansk,68,RU,1547192513,72,67.55,133.39,-37.32,1.61
hamina,90,FI,1547191200,90,60.57,27.2,32.0,13.87
aasiaat,56,GL,1547192380,100,68.71,-52.87,12.45,7.43
kudahuvadhoo,80,MV,1547192514,100,2.67,72.89,78.78,5.97
cidreira,68,BR,1547192514,94,-30.17,-50.22,73.65,4.74
rio gallegos,40,AR,1547190000,54,-51.62,-69.22,57.2,11.41
half moon bay,90,US,1547191140,100,37.46,-122.43,53.96,3.36
gerash,0,IR,1547190000,38,27.67,54.14,60.8,4.7
brae,75,GB,1547191200,93,60.4,-1.35,48.2,3.36
portland,90,US,1547189280,92,45.52,-122.67,48.02,3.4
shentala,56,RU,1547192516,87,54.44,51.46,11.91,9.66
rincon,1,US,1547190900,98,32.3,-81.24,42.08,8.21
shelburne,90,CA,1547190960,77,44.08,-80.2,10.4,5.82
jonkoping,75,SE,1547191200,100,57.78,14.16,35.6,11.41
de aar,12,ZA,1547192517,18,-30.65,24.01,83.15,13.8
huancabamba,48,PE,1547192518,92,-5.24,-79.45,53.13,2.17
moroni,68,US,1547192518,78,39.52,-111.59,15.92,2.06
melfi,90,IT,1547189700,86,41.0,15.66,35.6,5.82
olavarria,0,AR,1547192425,85,-36.89,-60.32,43.28,3.4
phonhong,75,LA,1547190000,52,18.5,102.42,87.8,4.7
kieta,20,PG,1547192520,87,-6.22,155.63,83.15,4.63
gravdal,75,NO,1547191200,80,59.79,5.78,44.6,10.29
saldanha,0,PT,1547192520,87,41.42,-6.55,23.39,5.19
xuddur,0,SO,1547192521,40,4.12,43.89,85.08,18.28
bathsheba,40,BB,1547190000,78,13.22,-59.52,77.0,12.75
niono,0,ML,1547192521,33,14.25,-5.99,69.83,7.65
poum,90,MK,1547191800,86,41.28,20.71,28.4,6.93
rognan,75,NO,1547191200,93,67.1,15.4,39.2,36.91
ottawa,20,CA,1547190000,64,45.42,-75.69,-0.41,21.92
salalah,0,OM,1547189400,45,17.01,54.1,82.4,5.82
novo oriente,76,BR,1547192523,97,-5.54,-40.77,67.35,6.87
tautira,75,PF,1547191800,88,-17.73,-149.15,78.8,5.82
komsomolskiy,76,RU,1547192525,66,67.55,63.78,-0.74,14.58
lethem,64,GY,1547192399,77,3.38,-59.8,75.41,9.44
russell,0,AR,1547192526,92,-33.01,-68.8,38.46,2.28
calama,0,CL,1547190000,76,-22.46,-68.93,50.0,4.7
yakeshi,0,CN,1547192526,64,49.28,120.73,1.79,1.95
hare bay,90,CA,1547190000,100,48.86,-53.99,28.4,3.36
awjilah,0,LY,1547192527,30,29.14,21.3,61.68,6.76
kamenka,88,RU,1547192527,90,53.19,44.05,12.5,10.78
mazeikiai,92,LT,1547192528,92,56.32,22.33,28.97,18.05
ciudad bolivar,0,VE,1547192528,77,8.12,-63.55,75.9,10.67
laizhou,92,CN,1547192528,83,37.18,119.93,35.81,1.28
omsukchan,80,RU,1547192529,90,62.53,155.8,-12.44,2.39
bani walid,76,LY,1547192529,20,31.76,14.0,51.78,4.63
bilibino,0,RU,1547192529,73,68.06,166.44,-17.39,2.28
providencia,12,CO,1547192530,98,1.24,-77.6,46.11,1.72
tebingtinggi,40,ID,1547190000,79,3.33,99.16,84.2,5.82
tambacounda,36,SN,1547192530,44,13.77,-13.67,73.52,3.18
takoradi,32,GH,1547192531,94,4.89,-1.75,84.45,2.95
san quintin,0,PH,1547192531,58,17.54,120.52,79.82,3.74
saint-leu,44,RE,1547190000,55,-21.15,55.28,89.6,11.41
follonica,0,IT,1547189700,69,42.93,10.76,37.4,12.75
axim,8,GH,1547192532,96,4.87,-2.24,84.18,3.96
chase,1,US,1547192160,88,43.89,-85.64,22.64,2.39
hamilton,90,BM,1547189700,55,32.3,-64.78,60.8,20.8
talgar,90,KZ,1547190000,92,43.3,77.24,24.8,2.24
lodwar,0,KE,1547192244,35,3.12,35.6,90.62,12.24
bima,44,ID,1547192533,92,-8.45,118.73,80.81,2.62
waingapu,92,ID,1547192534,89,-9.65,120.26,81.08,4.97
atocha,92,EC,1547192534,99,-1.22,-78.6,43.46,2.06
sangar,64,RU,1547192534,35,63.92,127.47,-23.82,8.77
hatillo,36,PR,1547192535,100,18.49,-66.83,72.71,1.16
bonavista,92,CA,1547192535,98,48.65,-53.11,30.63,5.97
fairbanks,20,US,1547189880,69,64.84,-147.72,-32.08,2.51
beni mazar,0,EG,1547192536,38,28.5,30.8,60.96,4.63
saint-ambroise,90,FR,1547190000,93,47.25,-0.65,37.4,2.24
belle fourche,90,US,1547190900,60,44.67,-103.85,42.8,12.75
tondano,40,ID,1547190000,78,1.3,124.91,82.4,8.05
skjervoy,90,NO,1547189400,100,70.03,20.97,33.8,13.87
kazachinskoye,44,RU,1547192537,70,57.69,93.28,-5.51,4.63
aksha,0,RU,1547192538,72,50.28,113.29,6.51,1.95
chilca,75,PE,1547190000,76,-13.22,-72.34,48.2,1.83
berdigestyakh,64,RU,1547192538,80,62.1,126.7,-18.87,3.51
uchiza,92,PE,1547192538,100,-8.46,-76.46,66.23,2.17
tatarsk,76,RU,1547192539,80,55.22,75.96,-1.14,10.89
taonan,0,CN,1547192539,41,45.34,122.78,21.68,8.21
kamina,20,CD,1547192539,99,-8.74,25.0,81.03,4.74
kayes,64,ML,1547192540,37,14.44,-11.44,72.53,5.19
kerman,0,IR,1547190000,22,30.29,57.06,44.6,4.7
namatanai,24,PG,1547192540,96,-3.66,152.44,84.63,14.81
baillif,64,GP,1547190000,100,16.02,-61.75,68.0,1.12
khorixas,0,NA,1547192541,19,-20.37,14.96,79.82,4.63
vydrino,80,RU,1547192541,75,51.46,104.64,10.34,7.65
tabuk,24,PH,1547192541,62,17.41,121.44,74.46,1.95
gananoque,90,CA,1547190900,68,44.33,-76.16,6.98,12.75
shakiso,0,ET,1547192542,18,5.77,38.9,77.43,6.42
avera,1,US,1547190900,96,33.19,-82.53,32.0,4.7
ancud,76,CL,1547190000,100,-41.87,-73.83,39.2,2.24
puerto escondido,0,MX,1547192543,100,15.86,-97.07,81.48,8.66
taoudenni,0,ML,1547192543,32,22.68,-3.98,51.92,4.97
shache,68,CN,1547192543,56,38.42,77.24,31.98,4.29
senneterre,90,CA,1547190000,83,48.39,-77.24,-11.21,6.93
isangel,0,VU,1547192544,97,-19.55,169.27,80.76,8.21
goldap,76,PL,1547192545,88,54.31,22.3,16.23,15.7
san ramon de la nueva oran,56,AR,1547192545,90,-23.13,-64.33,64.65,9.89
barra do garcas,88,BR,1547192545,97,-15.89,-52.26,70.05,3.4
biak,64,ID,1547192546,76,-0.91,122.88,85.35,4.29
mana,90,RS,1547191800,92,43.52,20.24,30.2,4.74
bay roberts,90,CA,1547190000,100,47.58,-53.28,35.6,8.05
hobyo,0,SO,1547192547,68,5.35,48.53,81.93,21.63
atasu,48,KZ,1547192547,99,48.68,71.64,12.41,4.18
prainha,92,BR,1547192547,100,-1.8,-53.48,72.53,4.18
muromtsevo,76,RU,1547192548,78,56.37,75.24,2.24,10.89
nicolas bravo,0,MX,1547192548,92,24.39,-104.74,34.68,3.51
sawtell,0,AU,1547190000,61,-30.38,153.1,82.4,21.92
dabhol,0,IN,1547192549,73,17.6,73.17,83.28,7.31
mgandu,0,TZ,1547192549,69,-5.96,34.11,79.46,4.74
marzuq,0,YE,1547192549,23,14.4,46.47,74.42,4.41
kangaatsiaq,48,GL,1547192550,100,68.31,-53.46,11.69,5.3
gondanglegi,88,ID,1547192550,93,-7.75,112.01,77.57,3.96
srednekolymsk,8,RU,1547192550,48,67.46,153.71,-29.4,2.62
jinchang,0,CN,1547192550,86,38.52,102.19,24.56,3.4
umm kaddadah,0,SD,1547192551,46,13.6,26.69,69.38,15.7
hadejia,0,NG,1547192551,28,12.45,10.04,75.81,5.97
suntar,44,RU,1547192552,77,62.16,117.65,-3.84,6.08
orhangazi,75,TR,1547191200,58,40.49,29.31,53.6,12.75
dondo,75,MZ,1547190000,70,-19.62,34.74,87.8,6.64
romitan,90,UZ,1547190000,93,39.93,64.38,35.6,6.93
leh,56,IN,1547192553,77,34.16,77.58,-4.02,0.83
noumea,0,NC,1547191800,83,-22.28,166.46,80.6,5.82
batagay-alyta,12,RU,1547192554,0,67.8,130.41,-39.08,2.95
saint anthony,90,US,1547191800,100,43.97,-111.68,30.92,5.82
iquique,40,CL,1547190000,68,-20.22,-70.14,69.8,10.29
sao joao da barra,20,BR,1547192555,96,-21.64,-41.05,78.6,16.26
fort nelson,75,CA,1547190000,76,58.81,-122.69,-11.21,3.36
morehead,90,US,1547192100,71,38.18,-83.43,25.16,3.36
sanda,75,JP,1547190000,53,34.89,135.23,51.8,11.41
urcos,75,PE,1547190000,76,-13.69,-71.62,48.2,2.73
vaasa,0,FI,1547191200,59,63.1,21.62,35.6,14.99
ca mau,20,VN,1547192557,70,9.18,105.15,85.85,15.14
namibe,0,AO,1547192557,100,-15.19,12.15,75.23,4.85
aklavik,90,CA,1547190000,67,68.22,-135.01,-25.61,6.31
hastings,36,NZ,1547192557,83,-39.64,176.84,70.37,7.43
lashio,0,MM,1547192558,60,22.93,97.75,71.72,2.62
panguipulli,0,CL,1547190000,100,-39.64,-72.33,37.4,1.61
aldan,76,RU,1547192559,79,58.61,125.39,5.21,2.95
hornepayne,20,CA,1547192559,71,49.22,-84.78,-10.73,3.06
teya,5,MX,1547189100,82,21.05,-89.07,59.0,2.28
sao bernardo,88,BR,1547192560,99,-3.36,-42.42,71.45,5.41
vangaindrano,92,MG,1547192560,91,-23.35,47.6,79.05,4.18
thunder bay,90,CA,1547190000,71,48.41,-89.26,6.8,4.7
dakar,56,SN,1547190000,72,14.69,-17.45,64.4,12.75
maloy,20,ID,1547192561,57,1.0,118.1,86.43,5.64
manicore,92,BR,1547192389,97,-5.81,-61.3,72.71,2.06
teshie,36,GH,1547190000,94,5.58,-0.11,78.8,8.05
raudeberg,75,NO,1547191200,64,61.99,5.14,39.2,21.92
port-gentil,20,GA,1547190000,94,-0.72,8.78,80.6,0.83
puerto narino,75,CO,1547190000,100,-3.77,-70.38,75.2,2.24
klaksvik,92,FO,1547191200,100,62.23,-6.59,41.0,5.19
kutum,0,SD,1547192563,45,14.2,24.66,70.91,7.31
deputatskiy,24,RU,1547192563,55,69.3,139.9,-33.23,2.73
natal,0,BR,1547190000,88,-5.81,-35.21,75.2,18.34
meadow lake,32,CA,1547192564,67,54.13,-108.44,1.52,2.73
sao raimundo das mangabeiras,68,BR,1547192564,90,-7.02,-45.48,67.08,5.75
presidencia roque saenz pena,92,AR,1547192564,100,-26.79,-60.44,68.3,6.98
margate,20,AU,1547190000,24,-43.03,147.26,82.4,19.46
kasempa,56,ZM,1547192565,86,-13.46,25.83,74.69,9.33
baykit,24,RU,1547192565,48,61.68,96.39,-17.57,9.44
dimona,8,IL,1547192566,75,31.07,35.04,54.21,4.52
da lat,44,VN,1547192566,74,11.95,108.44,71.45,3.62
pinar del rio,0,CU,1547192566,98,22.42,-83.7,56.91,3.74
chingirlau,88,KZ,1547192567,90,51.09,54.08,8.09,4.52
karratha,0,AU,1547192567,20,-20.74,116.85,104.84,11.34
borogontsy,56,RU,1547192567,52,62.67,131.17,-31.25,6.2
carbonia,0,IT,1547191200,80,39.17,8.53,33.8,6.93
severo-yeniseyskiy,36,RU,1547192568,53,60.37,93.04,-10.95,6.64
lere,0,TD,1547192568,39,9.66,14.23,81.03,6.53
adrar,0,DZ,1547190000,34,27.87,-0.29,37.4,8.05
marysville,1,CA,1547192100,72,42.91,-82.49,20.3,5.82
koungheul,68,SN,1547192569,73,13.98,-14.8,72.93,2.95
ionia,1,US,1547192100,84,42.99,-85.07,21.02,2.95
harper,90,US,1547192100,76,30.3,-99.24,55.04,12.75
alta floresta,80,BR,1547192571,98,-9.87,-56.08,69.74,1.72
beloha,56,MG,1547192571,91,-25.17,45.06,83.87,8.66
damietta,12,EG,1547192571,73,31.42,31.81,62.9,4.18
sumbawanga,68,TZ,1547192571,100,-7.95,31.62,73.43,4.85
michurinsk,92,RU,1547192321,94,52.9,40.48,20.46,8.77
yumen,0,CN,1547192572,82,40.29,97.04,24.33,13.02
qaqortoq,80,GL,1547192572,87,60.72,-46.03,27.35,6.98
charta,8,CO,1547192573,100,7.28,-72.97,55.88,1.5
port hawkesbury,20,CA,1547190000,86,45.62,-61.36,28.4,6.93
cooma,75,AU,1547190000,82,-36.24,149.13,68.0,19.46
latur,0,IN,1547192573,36,18.4,76.56,85.94,6.76
avanigadda,40,IN,1547190000,61,16.02,80.92,82.4,4.7
ugoofaaru,64,MV,1547192574,100,5.67,73.0,81.98,10.78
lebanon,90,US,1547192340,72,43.64,-72.25,17.06,8.05
luganville,88,VU,1547192575,100,-15.51,167.18,80.99,7.54
troy,90,US,1547191740,59,42.73,-73.69,19.94,19.46
pangnirtung,56,CA,1547192576,51,66.15,-65.72,-17.34,1.61
mujiayingzi,56,CN,1547192576,31,42.12,118.78,28.43,5.64
gubkinskiy,44,RU,1547192577,40,64.43,76.5,-26.07,4.52
mariel,40,CU,1547189700,68,22.99,-82.75,64.4,4.7
jucas,68,BR,1547192577,96,-6.53,-39.53,67.22,1.95
kholmogory,90,RU,1547190000,85,64.23,41.65,23.0,17.9
vegueta,88,PE,1547192578,100,-11.02,-77.64,56.15,1.39
singleton,44,AU,1547190000,65,-32.57,151.17,80.6,17.22
talara,88,PE,1547192579,88,-4.58,-81.27,71.63,2.73
darnah,20,LY,1547192579,100,32.77,22.64,60.92,17.6
sakaiminato,75,JP,1547190000,49,35.55,133.23,48.2,13.87
iqaluit,75,CA,1547190000,68,63.75,-68.52,-14.81,12.75
pyaozerskiy,80,RU,1547192580,75,65.83,31.17,27.93,11.9
port blair,44,IN,1547192580,100,11.67,92.75,79.86,10.67
mahon,75,IE,1547191800,100,51.89,-8.4,46.4,3.36
haines junction,24,CA,1547192581,68,60.75,-137.51,-38.45,1.72
pandan,32,PH,1547192582,95,11.72,122.09,81.8,21.74
hirara,75,JP,1547190000,83,24.8,125.28,77.0,8.05
mecca,0,SA,1547192577,41,21.43,39.83,83.06,3.96
makushino,68,RU,1547192582,92,55.21,67.25,9.21,10.0
markova,92,RU,1547192583,86,52.21,104.21,10.97,8.77
provost,44,CA,1547192583,83,52.35,-110.26,1.97,3.74
davila,20,PH,1547190000,78,18.47,120.58,82.4,8.05
west wendover,1,US,1547189760,92,40.74,-114.07,26.06,3.18
zholymbet,56,KZ,1547192584,91,51.74,71.71,7.23,4.52
nakapiripirit,0,UG,1547192585,40,1.81,34.71,82.61,10.67
kibaya,40,RW,1547188200,69,-2.2,30.56,73.4,3.36
